GEO	Type	Summary	Platform	Citation	Sample size	Year
GSE125362	Expression	Microarray gene expression and intrinsic subset assignment were measured in 8 SSc patient and 4 control biopsies	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Missing	12	2019
GSE97248	Expression	To assess the safety and efficacy of treatment with belimumab in patients with early diffuse cutaneous systemic sclerosis (dcSSc) treated with background mycophenolate mofetil (MMF).	Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)	Gordon JK, Martyanov V, Franks JM, Bernstein EJ et al. Belimumab for the Treatment of Early Diffuse Systemic Sclerosis: Results of a Randomized, Double-Blind, Placebo-Controlled, Pilot Trial. Arthritis Rheumatol 2018 Feb;70(2):308-316. PMID: 29073351	36	2018
GSE95065	Expression	Expression data from skin biopsies in patients with systemic sclerosis	[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array (HGU133A2 Hs ENTREZG 19.0.0)	Missing	33	2018
GSE94340	Expression	Expression data from skin biopsies in patients with systemic sclerosis treated with beta-catenin inhibitor (C82) and placebo	[HG-U133A_2] Affymetrix Human Genome U133A 2.0 Array	Lafyatis R, Mantero JC, Gordon J, Kishore N et al. Inhibition of β-Catenin Signaling in the Skin Rescues Cutaneous Adipogenesis in Systemic Sclerosis: A Randomized, Double-Blind, Placebo-Controlled Trial of C-82. J Invest Dermatol2017 Dec;137(12):2473-2483. PMID: 28807667	66	2018
GSE81072	Expression	Gene expression from human keratinocytes isolated from limited systemic sclerosis (lcSSc) and diffuse systemic sclerosis (dcSSc) skin biopsy	[HuGene-2_1-st] Affymetrix Human Gene 2.1 ST Array [transcript (gene) version]	McCoy SS, Reed TJ, Berthier CC, Tsou PS et al. Scleroderma keratinocytes promote fibroblast activation independent of transforming growth factor beta. Rheumatology (Oxford) 2017 Nov 1;56(11):1970-1981. PMID: 28968684	20	2018
GSE79387	Expression	Patients were enrolled in a single-arm open-label trial of dasatinib. Primary objective was to assess safety and pharmacokinetics. Secondary and exploratory outcomes included clinical assessments, quantitative high-resolution computed tomography (HRCT) of the chest, serum biomarkers, and intrinsic gene expression subset assignments in skin.	Affymetrix HT Human Genome U133A Array	Martyanov V, Kim GJ, Hayes W, Du S et al. Novel lung imaging biomarkers and skin gene expression subsetting in dasatinib treatment of systemic sclerosis-associated interstitial lung disease. PLoS One 2017;12(11):e0187580. PMID: 29121645	45	2018
GSE117931	Expression	Integration of genome-wide DNA methylation and transcription uncovered aberrant methylation-regulated genes and pathways in the peripheral blood mononuclear cells of systemic sclerosis		Missing	74	2018
GSE108918	Expression	Serum microRNA screening and functional studies reveal miR-483-5p as a potential driver of fibrosis in systemic sclerosis	TaqMan OpenArray Human MicroRNA Panel	Chouri E, Servaas NH, Bekker CPJ, Affandi AJ et al. Serum microRNA screening and functional studies reveal miR-483-5p as a potential driver of fibrosis in systemic sclerosis. J Autoimmun 2018 May;89:162-170. PMID: 29371048	35	2018
GSE106358	Expression	Skin gene expression is prognostic for the trajectory of skin disease in patients with diffuse cutaneous systemic sclerosis	Agilent-040143 human EPI_Hs_8X60_3P_004_GEO_array	Stifano G, Sornasse T, Rice LM, Na L et al. Skin Gene Expression Is Prognostic for the Trajectory of Skin Disease in Patients With Diffuse Cutaneous Systemic Sclerosis. Arthritis Rheumatol 2018 Jun;70(6):912-919. PMID: 29858547	69	2018
GSE104174	Expression	Changes in macrophage transcriptome associate with systemic sclerosis and mediate GSDMA contribution to disease risk	Illumina HiSeq 2500 (Homo sapiens)	Moreno-Moral A, Bagnati M, Koturan S, Ko JH et al. Changes in macrophage transcriptome associate with systemic sclerosis and mediate <i>GSDMA</i> contribution to disease risk. Ann Rheum Dis 2018 Apr;77(4):596-601. PMID: 29348297	72	2018
GSE100250	Expression	Increased dermal collagen bundle alignment in Systemic Sclerosis is associated with a cell migration signature and role of Arhgdib in directed fibroblast migration on aligned ECMs	Illumina HiSeq 2500	Cao L, Lafyatis R, Burkly LC. Increased dermal collagen bundle alignment in systemic sclerosis is associated with a cell migration signature and role of Arhgdib in directed fibroblast migration on aligned ECMs. PLoS One2017;12(6):e0180751. PMID: 28662216	92	2018
GSE93698	Expression	Gene expression profiles in systemic sclerosis tenosynovial biopsies	[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array		30	2017
GSE76885	Expression	Gene expression was measured (longitudinally if available) in SSc patients receiving treatment with mycophenolate mofeti, registry patients, and healthy controls	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	mIssing	194	2017
GSE76808	Expression	Gene expression from lung biopsies was measured in 7 patients with SSc-ILD and 4 controls	 Affymetrix Human Genome U133A 2.0 Array	Christmann RB, Sampaio-Barros P, Stifano G, Borges CL et al. Association of Interferon- and transforming growth factor β-regulated genes and macrophage activation with systemic sclerosis-related progressive lung fibrosis. Arthritis Rheumatol 2014 Mar;66(3):714-25. PMID: 24574232	18	2017
GSE76807	Expression	Gene expression was measured in forearm skin punch biopsies in 10 limited cutaneous systemic sclerosis patients and 5 healthy controls	Agilent-014850 Whole Human Genome Microarray 4x44K G4112F (Probe Name version)	Missing	15	2017
GSE76806	Expression	Gene expression was measured in forearm skin punch biopsies in 24 limited cutaneous systemic sclerosis patients	Agilent-028004 SurePrint G3 Human GE 8x60K Microarray (Probe Name Version)	Missing	24	2017
GSE81293	Expression	Expression of miRNA from lung tissue from Systemic Sclerosis patients with interstitial lung disease (SSc-ILD) and healthy controls.	Affymetrix Multispecies miRNA-3 Array	Christmann RB, Wooten A, Sampaio-Barros P, Borges CL et al. miR-155 in the progression of lung fibrosis in systemic sclerosis. Arthritis Res Ther 2016 Jul 5;18(1):155. PMID: 27377409	20	2016
